Symbol	Date	EMA10T7	EMA10T6	EMA10T5	EMA10T4	EMA10T3	EMA10T2	EMA10T1	EMA10T0	EMA20T7	EMA20T6	EMA20T5	EMA20T4	EMA20T3	EMA20T2	EMA20T1	EMA20T0
ENIC	21.07.2021	2,7871814796	2,7622394098	2,7491049820	2,7365404520	2,7353512824	2,7380146856	2,7620119947	2,7816461566	2,8622003910	2,8419908390	2,8275155264	2,8134664350	2,8055172526	2,8002298952	2,8068746562	2,8128865828
AMH	21.07.2021	40,1864714137	40,3325678254	40,5139194628	40,7022976036	40,8764252843	40,8752568566	41,0579376223	41,1401304767	39,6182190305	39,7488649969	39,8994494573	40,0566446744	40,2093451671	40,2722645733	40,4253823347	40,5286790953
FHTX	21.07.2021	10,3081356640	10,1430200193	9,9661073024	9,8704513530	9,8230964991	9,7679881279	9,7865357202	9,8253474075	10,4606202991	10,3596088057	10,2463127363	10,1695210071	10,1162332595	10,0594491831	10,0414063929	10,0374629269
TPVG	21.07.2021	15,5381706290	15,6585033806	15,7242301219	15,7961884342	15,8168814184	15,7792665526	15,8193999067	15,8485998404	15,4991525811	15,5659000269	15,6091476870	15,6578003682	15,6818193662	15,6749793939	15,7059337373	15,7320352425
GF	21.07.2021	20,4963847236	20,5152239341	20,5015469523	20,4649019132	20,4131016208	20,2979923600	20,1947209386	20,1502263612	20,4802089019	20,4916176142	20,4867017018	20,4689205147	20,4414043043	20,3784134835	20,3166597748	20,2817398689
PAI	21.07.2021	15,5903056944	15,5993410852	15,6285518386	15,6469968756	15,6457247788	15,6319565817	15,6243281401	15,6071775206	15,4911785000	15,5053520089	15,5296042203	15,5486894890	15,5573857609	15,5585870879	15,5615788084	15,5585712774
RJA	21.07.2021	7,4792311801	7,4830073292	7,5079150667	7,5319304848	7,5570340469	7,5612096609	7,5791715130	7,6002312691	7,5283642935	7,5256629322	7,5346474040	7,5446809718	7,5566161246	7,5588431531	7,5684771240	7,5805269381
WSR	21.07.2021	8,0982938951	8,0749676942	8,0613372044	8,0520032088	8,0352753596	7,9724980319	7,9793166132	8,0121681103	8,2160167473	8,1925865609	8,1742449837	8,1586026261	8,1396880939	8,0968606618	8,0885882397	8,0953893452
PFGC	21.07.2021	47,9367147518	47,8845850743	47,8419335201	47,6470365996	47,2312118743	46,5728098263	46,4904805728	46,3522112945	48,4832675253	48,4039088587	48,3321081603	48,1833359982	47,9144469136	47,5044996467	47,3726424357	47,2162002554
FFHL	21.07.2021	11,2292578483	11,1984837703	11,0823958884	10,9092330204	10,6984633803	10,4478336193	10,3482274374	10,4212769942	10,6544309499	10,6930566137	10,6803845952	10,6279670256	10,5443511184	10,4277462209	10,3774846398	10,4129622931
